Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-06-13,2654.36,2798.99,2649.47,2709.01,19716.9741915,53450606.547,2710.89296095
2017-06-14,2709.02,2827.0,2330.0,2432.21,28257.1348577,73602732.3272,2604.74859528
2017-06-15,2432.21,2525.0,2050.0,2409.98,42025.0418809,97513157.5893,2320.35836789
2017-06-16,2409.98,2524.65,2287.84,2480.43,21891.9577182,53321284.4628,2435.65628753
2017-06-17,2480.44,2679.24,2413.96,2634.94,17601.3141096,45165296.3403,2566.01842675
2017-06-18,2634.94,2670.0,2455.01,2515.25,13831.6086485,35342184.4495,2555.17527626
2017-06-19,2515.25,2597.0,2481.92,2596.98,13928.5586851,35569300.1452,2553.69568017
2017-06-20,2596.99,2776.95,2585.42,2725.08,19230.1262207,51537778.3964,2680.05408831
2017-06-21,2725.11,2781.59,2559.51,2643.35,18065.091953,48487828.9098,2684.06211471
2017-06-22,2643.33,2724.69,2598.0,2679.99,12179.5537823,32569335.9512,2674.099276
2017-06-23,2679.93,2743.0,2665.0,2690.76,9674.14014661,26164852.4872,2704.61788755
2017-06-24,2690.76,2718.37,2503.05,2574.84,12808.477965,33580809.3647,2621.76422964
2017-06-25,2574.86,2625.0,2430.05,2505.61,13739.1713358,34797635.3921,2532.73174499
2017-06-26,2505.61,2563.9,2258.34,2407.91,20262.7621529,49050147.5966,2420.70391126
2017-06-27,2407.91,2575.75,2264.0,2575.75,22151.5196208,53020729.5545,2393.5481837
2017-06-28,2573.22,2605.0,2457.0,2553.12,16240.954621,41244844.9403,2539.55792025
2017-06-29,2553.13,2591.98,2506.1,2530.0,9048.16102048,23145384.2011,2558.02081204
2017-06-30,2531.16,2554.01,2446.2,2455.19,11860.9594359,29683670.5851,2502.63654855
2017-07-01,2455.19,2515.0,2400.0,2423.63,8448.08879856,20694732.0337,2449.63476677
2017-07-02,2424.08,2545.0,2385.0,2516.66,9098.28919886,22447053.7807,2467.17303551
2017-07-03,2515.37,2584.78,2479.75,2542.41,10045.8328211,25378228.3131,2526.24434082
2017-07-04,2542.41,2636.1,2542.18,2602.0,10680.5652217,27753299.8227,2598.48605824
2017-07-05,2602.0,2630.24,2551.06,2616.96,10183.6301032,26318265.0397,2584.36969655
2017-07-06,2616.96,2623.54,2580.69,2604.84,8207.99657687,21329883.2738,2598.67107327
2017-07-07,2604.89,2607.61,2472.0,2501.15,11640.7815712,29575549.3563,2540.68416073
2017-07-08,2501.15,2563.5,2471.22,2561.11,7869.88131277,19831644.9617,2519.94206437
2017-07-09,2560.84,2579.84,2500.0,2508.99,5647.43426949,14394516.8397,2548.85956221
2017-07-10,2508.0,2523.0,2250.0,2331.05,15554.0050949,37356077.467,2401.7015064
